csp,pv,out
0,10.437,8.2911
0.3991,335.7,325.86
1.5181,496.11,481.2
1.5826,470.5,456.52
1.4186,445.05,431.94
1.3325,433.32,420.58
1.3804,450.44,437.16
1.5059,474.09,459.98
1.3796,466.02,452.2
0.2753,186.62,180.28
0,0,-0.8327
0.0098,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,10.341,8.1993
0.2458,329.89,320.22
1.4724,496.32,481.4
1.5919,480.87,466.51
1.4218,450.85,437.56
1.2179,405.07,393.2
1.0539,365.15,354.48
1.2675,460.91,447.27
0.9629,370.67,359.83
0.301,224.45,217.32
0,0,-0.8327
0.0114,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,9.3549,7.2289
0.1312,306.69,297.62
1.1463,461.37,447.71
1.3547,463.66,449.92
1.2709,433.05,420.32
1.2466,422.93,410.52
1.2878,443.1,430.06
1.3768,460.99,447.35
1.1912,433.47,420.73
0.2069,186.79,180.45
0,0,-0.8327
0.01,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,17.228,15.009
0,198.48,191.92
0.2943,311.05,301.88
1.1961,483.97,469.51
1.3789,478.6,464.32
1.3609,436.52,423.69
1.3968,457.73,444.22
1.4066,477.21,463.02
0.9384,386.12,374.82
0,103,99.623
0,0,-0.8327
0.0097,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,78.442,75.437
0,95.913,92.648
0,257.85,249.96
0,247.07,239.43
0,370.52,359.69
0.3037,419.69,407.38
0,158.41,154.17
0.0129,146.47,142.42
0,55.796,53.096
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,10.179,8.0311
0.1379,331.22,321.51
1.3527,512.51,497
1.6125,498.71,483.71
1.4379,465.61,451.8
1.2885,443.22,430.17
1.2951,459.36,445.77
1.4671,487.43,472.83
1.4461,488.45,473.82
0.4324,243.79,236.23
0,4.6019,-0.8207
0.01,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,15.756,13.532
0,208.79,202.01
0.8485,434.98,422.2
1.4195,481.7,467.31
1.3645,466.55,452.71
1.353,449.51,436.27
1.3996,470.5,456.52
1.4488,499.32,484.3
0.8445,389.06,377.68
0,62.608,59.829
0,0,-0.8327
0.0093,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,18.586,16.332
0,74.546,71.598
0,83.457,80.379
0,82.278,79.217
0,125.81,122.07
0,97.279,93.994
0,122.58,118.9
0,76.204,73.231
0,68.119,65.262
0,263.83,255.81
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,9.0501,6.9301
0.0784,301.1,292.18
1.169,475.25,461.09
1.53,478.86,464.58
1.4401,452.61,439.26
1.3644,436.78,423.94
1.4173,453.7,440.31
1.5433,479.24,464.96
1.5039,477.45,463.24
0.5185,260.16,252.22
0,5.8215,3.7432
0.0093,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
