csp,pv,out
0,10.437,8.2911
0.456,335.7,325.86
1.2285,496.11,481.2
1.28175,470.5,456.52
1.4575,445.05,431.94
1.7535,433.32,420.58
2.06375,450.44,437.16
1.40825,474.09,459.98
0.28375,466.02,452.2
0.71075,186.62,180.28
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,10.341,8.1993
0.27375,329.89,320.22
1.21075,496.32,481.4
1.28825,480.87,466.51
1.46775,450.85,437.56
1.5915,405.07,393.2
1.473,365.15,354.48
1.29725,460.91,447.27
0.124,370.67,359.83
0.60275,224.45,217.32
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,9.3549,7.2289
0,306.69,297.62
0.10475,461.37,447.71
1.03775,463.66,449.92
1.321,433.05,420.32
1.6555,422.93,410.52
1.92025,443.1,430.06
1.33925,460.99,447.35
0.242,433.47,420.73
0.60975,186.79,180.45
0.07725,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,17.228,15.009
0,198.48,191.92
0,311.05,301.88
0.4575,483.97,469.51
1.44625,478.6,464.32
1.788,436.52,423.69
2.1005,457.73,444.22
1.44,477.21,463.02
0.16525,386.12,374.82
0,103,99.623
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,78.442,75.437
0,95.913,92.648
0,257.85,249.96
0,247.07,239.43
0,370.52,359.69
0.8425,419.69,407.38
0.09925,158.41,154.17
0,146.47,142.42
0,55.796,53.096
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,10.179,8.0311
0.0795,331.22,321.51
1.1625,512.51,497
1.32525,498.71,483.71
1.48,465.61,451.8
1.67375,443.22,430.17
1.93525,459.36,445.77
1.474,487.43,472.83
0.29725,488.45,473.82
0.93,243.79,236.23
0,4.6019,-0.8207
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,15.756,13.532
0,208.79,202.01
0.0625,434.98,422.2
1.13825,481.7,467.31
1.39125,466.55,452.71
1.78125,449.51,436.27
2.0725,470.5,456.52
1.54675,499.32,484.3
0.17725,389.06,377.68
0,62.608,59.829
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,18.586,16.332
0,74.546,71.598
0,83.457,80.379
0,82.278,79.217
0,125.81,122.07
0,97.279,93.994
0,122.58,118.9
0,76.204,73.231
0,68.119,65.262
0,263.83,255.81
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,9.0501,6.9301
0,301.1,292.18
0.55425,475.25,461.09
1.2385,478.86,464.58
1.46875,452.61,439.26
1.7585,436.78,423.94
2.0925,453.7,440.31
1.60225,479.24,464.96
0.23625,477.45,463.24
0.5465,260.16,252.22
0,5.8215,3.7432
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,11.449,9.2947
0.9905,365.49,354.8
1.398,520.49,504.68
1.4165,498.23,483.25
1.56375,463.29,449.56
1.832,444.45,431.36
2.111,459.15,445.57
1.58925,479.09,464.82
0.23425,472.42,458.39
0.55675,262.87,254.87
0.02625,9.2999,7.1903
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,10.737,8.5928
0.48425,335.59,325.76
1.302,508.2,492.84
1.38475,491.23,476.5
1.5475,464.13,450.37
1.798,445.77,432.64
2.09625,463.5,449.78
1.68275,488.61,474.02
0.254,490.49,475.83
0.353,270.89,262.7
0.015,9.6924,7.5765
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,22.16,19.851
0,56.966,54.253
0,146.51,142.46
0,235.6,228.22
0,243.65,236.09
0,274.04,265.77
0,441.49,428.5
0,432.18,419.48
0.3435,304.07,295.07
0.01575,11.285,9.1369
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,25.048,22.702
0,314.56,305.29
1.0085,495.83,480.93
1.259,488.07,473.46
1.45975,469.06,455.13
1.78075,450.54,437.26
2.1015,468.89,454.97
1.7035,489.19,474.54
0.33725,493.1,478.3
0.8855,277.16,268.81
0.02925,11.687,9.5412
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,28.367,25.978
0.96075,372.59,361.7
1.47075,530.52,514.33
1.4925,509.94,494.52
1.65475,480.56,466.22
1.9555,461.43,447.77
2.31925,479.95,465.62
1.934,506.67,491.38
0.389,518.89,503.14
1.24,325.16,315.62
0.092,15.972,13.773
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,35.504,33.033
0,32.124,29.69
0,44.41,41.841
0,186.66,180.32
0,369.16,358.37
0.886,424.66,412.2
1.18125,437.71,424.83
0.078,79.401,76.382
0,30.47,28.054
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,13.396,11.198
0.85575,383.89,372.66
1.41725,555.17,538.05
1.4855,533.11,516.82
1.64375,501.92,486.8
1.90525,483.16,468.72
2.09325,496.03,481.13
1.61075,526.71,510.67
0.1855,339.33,329.39
0,140.24,136.28
0,11.244,9.0852
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,14.09,11.883
1.141,384.59,373.34
1.456,548.95,532.06
1.5015,523.82,507.89
1.66225,495.95,481.04
1.9155,475.82,461.65
2.312,498.64,483.64
2.012,526.16,510.13
0.416,538.1,521.63
1.138,349.56,339.33
0.086,19.163,16.892
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,12.001,9.8258
0.535,365.35,354.67
1.39575,535.66,519.28
1.43975,530.3,514.13
1.347,466.86,453
1.85725,485.49,470.97
2.1575,496.8,481.86
1.89025,520.21,504.41
0.3615,502.01,486.89
0.88225,331.22,321.51
0.06575,20.517,18.238
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,15.265,13.043
0.95725,381.32,370.17
1.4345,535.9,519.52
1.20075,501.75,486.64
0.5345,380.51,369.39
0.242,317.48,308.14
2.16475,484.35,469.87
2.04675,516.14,500.49
0.43525,526.64,510.6
1.03575,345.23,335.13
0.097,22.061,19.76
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,30.336,27.922
0.72575,365.54,354.86
1.39925,526.39,510.36
0.75075,395.96,384.37
0.14125,295.86,287.06
0,382.17,370.99
0,255.37,247.54
0,118.58,114.97
0,82.771,79.703
0,52.626,49.963
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,13.468,11.269
0,267,258.9
0,143.3,139.3
0,200.66,194.06
0,394.43,382.89
1.57875,489.47,474.8
1.4165,439.86,426.92
1.2525,423.13,410.72
0.29725,427.57,415.02
0,168.92,164.51
0,17.382,15.147
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,14.363,12.153
0.67325,380.77,369.64
1.4475,538.34,521.86
1.5435,524.3,508.35
1.50775,494.2,479.37
1.4615,459.33,445.75
1.64675,450.28,437.01
1.7345,531.01,514.8
0.3375,455.24,441.8
0,317.14,307.81
0,21.263,18.973
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,12.828,10.642
0,234.87,227.51
1.18475,536.3,519.9
1.42275,513.66,498.1
0.4965,383.83,372.6
1.41225,478.45,464.18
1.0735,394.7,383.15
0.85125,372.53,361.63
0.1155,202.58,195.93
0,59.343,56.602
0,11.021,8.8716
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,17.318,15.07
0,241.51,234
0.7105,524.41,508.45
1.291,495.62,480.73
1.074,430.91,418.26
1.18525,418.03,405.77
2.415,516.48,500.82
2.2695,532.37,516.11
0.54525,544.05,527.35
1.079,403.28,391.48
0.43525,38.945,36.436
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,41.082,38.55
1.077,413.74,401.61
1.58275,553.81,536.74
1.63775,537.67,521.22
1.7815,509.48,494.08
2.07275,493.73,478.91
2.41975,508.82,493.45
2.27575,534.51,518.18
0.56175,549.31,532.41
1.05725,417.42,405.18
0.427,42.574,40.026
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,21.454,19.154
1.143,421.28,408.92
1.62775,559.98,542.67
1.677,542.29,525.66
1.8385,515.3,499.69
2.12425,497.44,482.48
2.47175,512.12,496.62
2.3565,537.46,521.01
0.596,552.68,535.65
1.06775,419.06,406.77
0.47625,44.638,42.066
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,23.224,20.902
1.21025,431.68,419
1.65,559.62,542.32
1.6825,543.01,526.35
1.5015,525.13,509.15
0.711,382.23,371.05
0.33125,336.56,326.7
0.02475,218.22,211.23
0,164.46,160.12
0,73.83,70.891
0,10.028,7.9007
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,47.508,44.903
1.192,429.74,417.12
1.63325,554.21,537.12
1.67675,535.58,519.2
1.83775,510.62,495.18
2.113,494.31,479.47
2.4455,507.54,492.21
2.35875,530.45,514.29
0.614,541.74,525.16
0.95525,442.09,429.07
0.279,37.936,35.441
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,0,-0.8327
0,12.005,9.8244
0,242.26,234.74
